bid,name,pattern,subPattern,expected,got,delta,deltaAbs
,Grinding Of The Teeth x1.35,tech,stream tech,18,17.87,0.13,0.13
,The Fate of x1.425,stamina,light jumpstream,18,17.93,0.07,0.07
,Agoniya (Opium Remix)(theta) x1.1,speed,high stream,18,17.91,0.09,0.09
,Rip Me Apart(theta) x1.075,jack,dense chordjack,17.8,17.98,-0.18,0.18
,Exitium(eta),tech,stream tech,17.2,17.21,-0.01,0.01
,Intersect Thunderbolt-Remix,speed,mid stream,17.2,16.41,0.79,0.79
,Torment Payback,jack,high chordjack,17.2,17.22,-0.02,0.02
,Collapse of Ego,stamina,dense jumpstream,16.8,16.81,-0.01,0.01
,Angel Dust (2016 Radio Mix)(zeta),jack,anchor chordjack,15.6,15.94,-0.34,0.34
,northern limit(haku) x1.1,tech,stream tech,16.4,16.47,-0.07,0.07
,Purgatorium(efv2) x1.14,tech,stream tech,16.4,16.48,-0.08,0.08
,Angel Dust(spz),stamina,light handstream,16.4,16.43,-0.03,0.03
,Angel Dust (2016 Radio Mix)(zeta old),jack,high chordjack,16.4,16.62,-0.22,0.22
,Nijuu(zeta),stamina,dense handstream,16.2,15.93,0.27,0.27
,Kizuato(efv3) x1.3,speed,staircase,16.2,16.20,0.00,0.00
,Apocalyptic Premonition x1.05,tech,stream tech,16,16.16,-0.16,0.16
,NEURO-CLOUD-9(efv3),tech,stream tech,16,16.32,-0.32,0.32
,Senkou no Furea(haku) x1.25,stamina,dense handstream,16,15.52,0.48,0.48
,HIBACHI,speed,high stream,16,15.76,0.24,0.24
,Credens Justitiam(haku) x1.1,speed,mid stream,16,15.67,0.33,0.33
,Double Universe x1.2,jack,mid chordjack,16,16.21,-0.21,0.21
,Infinity Heaven(180bpm),jack,high chordjack,16,16.28,-0.28,0.28
,Runengon(efv3),stamina,dense handstream,15.7,15.83,-0.13,0.13
,Weird Autumn(spz) x1.4,tech,stream tech,15.6,15.82,-0.22,0.22
,Vertex Beta(spz cut),jack,mid chordjack,15.6,15.07,0.53,0.53
,Deadly force - Put an end,stamina,dense handstream,15.4,15.50,-0.10,0.10
,Finixe(zeta) x1.1,speed,low stream,15.4,15.94,-0.54,0.54
,Forgotten[Collab(2015)] x1.4,tech,jack tech,15.2,15.33,-0.13,0.13
,Matusa Bomber x1.3,tech,stream tech,15,15.42,-0.42,0.42
,Hitsugi to Futago x1.25,stamina,dense jumpstream,15,15.13,-0.13,0.13
,Ash Statues(wafles)[Inhuman],stamina,dense jumpstream,15,14.91,0.09,0.09
,Mario Point[D-Another],speed,low stream,15,15.28,-0.28,0.28
